1;Cours 1;S1;;2;[26]
2;Cours 2;S1;;2;[21]
3;Cours 3;S1;;4;[10,3]
4;Cours 4;S1;;3;[10,3]
5;Cours 5;S1;;2;[18]
6;Cours 6;S1;;4;[24]
8;Cours 8;S1;;4;[25]
10;Cours 10;S1;;3;[2,18]
11;Cours 11;S1;;4;[2,18]
12;Cours 12;S1;;2;[11,4]
13;Cours 13;S1;;2;[15]
14;Cours 14;S1;;4;[15]
15;Cours 15;S3;;1;[21]
16;Cours 16;S3;;1;[23]
17;Cours 17;S3;;4;[18]
18;Cours 18;S3;;2;[9]
19;Cours 19;S3;;4;[7]
21;Cours 21;S3;;4;[8,22]
23;Cours 23;S3;;3;[22]
25;Cours 25;S3;3S;3;[26]
26;Cours 26;S3;;3;[12]
28;Cours 28;S3;3S;2;[11]
29;Cours 29;S3;;2;[15]
30;Cours 30;S3;3L;3;[17]
31;Cours 31;S3;3L;2;[19]
33;Cours 33;S3;3M;3;[13]
34;Cours 34;S3;3M;2;[26]
36;Cours 36;S5;;2;[23]
37;Cours 37;S5;5S;3;[11]
38;Cours 38;S5;;3;[4]
39;Cours 39;S5;5S;5;[26]
40;Cours 40;S5;5S;3;[26]
41;Cours 41;S5;5S;3;[15]
42;Cours 42;S5;5S;5;[15]
43;Cours 43;S5;5S;3;[26]
44;Cours 44;S5;5S;4;[15]
45;Cours 45;S5;5L;3;[17]
46;Cours 46;S5;5L;4;[23]
47;Cours 47;S5;5L;5;[1]
48;Cours 48;S5;;4;[1]
49;Cours 49;S5;5L;5;[6]
50;Cours 50;S5;5L;4;[26]
51;Cours 51;S5;5M;3;[26]
52;Cours 52;S5;5M;5;[24]
53;Cours 53;S5;5M;5;[5]
54;Cours 54;S5;5M;4;[24]
55;Cours 55;S5;5M;2;[11]
56;Cours 56;S5;5M;4;[26]
57;Cours 57;S5;5M;3;[4]
